population_size_change/p020-anomaly_case-N716_10X_up939	261	241	59	0.2	1.0
population_size_change/p010-anomaly_case-N274_10X_down1350	0	4	146	0.1	1.0
population_size_change/p002-anomaly_case-N299_10X_down1148	322	18	12	0.02	1.0
population_size_change/p020-anomaly_case-N220_10X_up1036	164	250	50	0.2	1.0
population_size_change/p025-anomaly_case-N238_10X_up818	307	273	102	0.25	1.0
population_size_change/p015-anomaly_case-N717_10X_down1275	0	4	221	0.15	1.0
population_size_change/p005-anomaly_case-N274_10X_down1085	340	16	59	0.05	1.0
population_size_change/p005-anomaly_case-N119_10X_down1036	389	52	23	0.05	1.0
population_size_change/p025-anomaly_case-N299_10X_down582	543	184	191	0.25	1.0
population_size_change/p002-anomaly_case-N238_10X_up1469	1	30	0	0.02	1.0
population_size_change/p005-anomaly_case-N716_10X_up1203	222	61	14	0.05	1.0
population_size_change/p005-anomaly_case-N717_10X_down1424	1	0	75	0.05	1.0
population_size_change/p010-anomaly_case-N220_10X_up1066	284	106	44	0.1	1.0
population_size_change/p025-anomaly_case-N716_10X_up773	352	263	112	0.25	1.0
population_size_change/p015-anomaly_case-N274_10X_down1235	40	0	225	0.15	1.0
population_size_change/p015-anomaly_case-N716_10X_up1008	267	179	46	0.15	1.0
population_size_change/p010-anomaly_case-N118_10X_up1309	41	150	0	0.1	1.0
population_size_change/p002-anomaly_case-N220_10X_up1251	219	23	7	0.02	1.0
population_size_change/p025-anomaly_case-N498_10X_down1070	55	351	24	0.25	1.0
population_size_change/p002-anomaly_case-N716_10X_up1162	308	22	8	0.02	1.0
population_size_change/p002-anomaly_case-N274_10X_down1232	238	17	13	0.02	1.0
population_size_change/p002-anomaly_case-N118_10X_up1336	134	30	0	0.02	1.0
population_size_change/p025-anomaly_case-N620_10X_up931	194	339	36	0.25	1.0
population_size_change/p002-anomaly_case-N498_10X_down1347	123	29	1	0.02	1.0
population_size_change/p010-anomaly_case-N717_10X_down1343	7	0	150	0.1	1.0
population_size_change/p010-anomaly_case-N716_10X_up1152	198	126	24	0.1	1.0
population_size_change/p005-anomaly_case-N238_10X_up964	461	52	23	0.05	1.0
population_size_change/p015-anomaly_case-N118_10X_up906	369	161	64	0.15	1.0
population_size_change/p005-anomaly_case-N620_10X_up1330	95	62	13	0.05	1.0
population_size_change/p002-anomaly_case-N119_10X_down1041	429	20	10	0.02	1.0
population_size_change/p020-anomaly_case-N238_10X_up873	327	214	86	0.2	1.0
population_size_change/p025-anomaly_case-N274_10X_down1102	23	0	375	0.25	1.0
population_size_change/p020-anomaly_case-N717_10X_down1200	0	4	296	0.2	1.0
population_size_change/p010-anomaly_case-N299_10X_down1113	237	111	39	0.1	1.0
population_size_change/p015-anomaly_case-N119_10X_down848	427	124	101	0.15	1.0
population_size_change/p020-anomaly_case-N118_10X_up844	356	219	81	0.2	1.0
population_size_change/p025-anomaly_case-N220_10X_up998	127	323	52	0.25	1.0
population_size_change/p025-anomaly_case-N118_10X_up629	496	219	156	0.25	1.0
population_size_change/p020-anomaly_case-N299_10X_down927	273	223	77	0.2	1.0
population_size_change/p005-anomaly_case-N299_10X_down866	559	52	23	0.05	1.0
population_size_change/p015-anomaly_case-N220_10X_up1089	186	187	38	0.15	1.0
population_size_change/p020-anomaly_case-N274_10X_down1192	8	7	293	0.2	1.0
population_size_change/p005-anomaly_case-N118_10X_up1133	292	59	16	0.05	1.0
population_size_change/p002-anomaly_case-N620_10X_up1431	39	30	0	0.02	1.0
population_size_change/p020-anomaly_case-N498_10X_down833	367	173	127	0.2	1.0
population_size_change/p015-anomaly_case-N299_10X_down824	451	137	88	0.15	1.0
population_size_change/p020-anomaly_case-N620_10X_up1129	71	295	5	0.2	1.0
population_size_change/p025-anomaly_case-N119_10X_down810	315	375	0	0.25	1.0
population_size_change/p002-anomaly_case-N717_10X_down1034	436	16	14	0.02	1.0
population_size_change/p005-anomaly_case-N498_10X_down1295	130	60	15	0.05	1.0
population_size_change/p025-anomaly_case-N717_10X_down1123	2	4	371	0.25	1.0
population_size_change/p010-anomaly_case-N620_10X_up1224	126	136	14	0.1	1.0
population_size_change/p005-anomaly_case-N220_10X_up1185	240	50	25	0.05	1.0
population_size_change/p015-anomaly_case-N498_10X_down1195	80	209	16	0.15	1.0
population_size_change/p015-anomaly_case-N238_10X_up1224	51	219	6	0.15	1.0
population_size_change/p020-anomaly_case-N119_10X_down1155	45	6	294	0.2	1.0
population_size_change/p015-anomaly_case-N620_10X_up1188	87	208	17	0.15	1.0
population_size_change/p010-anomaly_case-N238_10X_up972	378	111	39	0.1	1.0
population_size_change/p010-anomaly_case-N498_10X_down1264	86	132	18	0.1	1.0
population_size_change/p010-anomaly_case-N119_10X_down964	386	94	56	0.1	1.0
